STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
12,053,00295751,12053,Hernando,Hernando County,06,H1,G4020,,45300,,A,1224612184,300943525,+28.5730426,-082.4662272
12,129,00306912,12129,Wakulla,Wakulla County,06,H1,G4020,533,45220,,A,1570625278,334901690,+30.1403575,-084.3751122
12,131,00295727,12131,Walton,Walton County,06,H1,G4020,,18880,,A,2687681942,522853411,+30.6312106,-086.1766139
12,127,00306921,12127,Volusia,Volusia County,06,H1,G4020,422,19660,,A,2852040536,857943035,+29.0577690,-081.1617920
12,051,00307626,12051,Hendry,Hendry County,06,H1,G4020,,17500,,A,2994812007,86844519,+26.5399670,-081.1521142
12,095,00295750,12095,Orange,Orange County,06,H1,G4020,422,36740,,A,2339574597,258804996,+28.5144350,-081.3232950
12,011,00295753,12011,Broward,Broward County,06,H1,G4020,370,33100,22744,A,3126001968,300067051,+26.1935353,-080.4766834
12,099,00295761,12099,Palm Beach,Palm Beach County,06,H1,G4020,370,33100,48424,A,5101999314,1070455000,+26.6491240,-080.4483739
12,041,00303633,12041,Gilchrist,Gilchrist County,06,H1,G4020,264,23540,,A,905705521,14362154,+29.7234556,-082.7958011
12,086,00295755,12086,Miami-Dade,Miami-Dade County,06,H1,G4020,370,33100,33124,A,4917514829,1379208315,+25.6105796,-080.4991365
12,055,00295756,12055,Highlands,Highlands County,06,H1,G4020,,42700,,A,2632946297,231658824,+27.3426272,-081.3409213
12,017,00295752,12017,Citrus,Citrus County,06,H1,G4020,,26140,,A,1507099402,495590953,+28.8436402,-082.5248099
12,093,00295760,12093,Okeechobee,Okeechobee County,06,H1,G4020,370,36380,,A,1991451255,318560309,+27.3855924,-080.8873884
12,109,00308371,12109,St. Johns,St. Johns County,06,H1,G4020,300,27260,,A,1555793097,571962797,+29.8906441,-081.3839483
12,027,00294452,12027,DeSoto,DeSoto County,06,H1,G4020,412,11580,,A,1649978040,6247257,+27.1905809,-081.8062531
